status,product_area,response,justification,request_type
escalated,Claude:general_support,Thanks for reporting this issue. It will be escalated to a human support specialist for further asistance since it appears to be sensitive or needs account-level review.,request_type=product_issue; status=escalated; matched_doc=11526368-how-am-i-billed-for-my-enterprise-plan.md,product_issue
replied,HackerRank:interviews_assessments,Thanks for reaching out about HackerRank. Please follow the product's documentation (5269412517-mitigating-candidate-drop-off.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=5269412517-mitigating-candidate-drop-off.md,product_issue
replied,Visa:billing,Thanks for reaching out about Visa. Please follow the product's documentation (travel-support.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=travel-support.md,product_issue
replied,HackerRank:billing,Thanks for reaching out about HackerRank. Please follow the product's documentation (9157064719-payments-and-billing-faqs.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=9157064719-payments-and-billing-faqs.md,product_issue
replied,HackerRank:billing,Thanks for reaching out about HackerRank. Please follow the product's documentation (9015913-how-to-get-support.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=9015913-how-to-get-support.md,product_issue
replied,HackerRank:general_support,Thanks for reaching out about HackerRank. Please follow the product's documentation (9695299159-onboarding-candidates.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=9695299159-onboarding-candidates.md,product_issue
replied,HackerRank:general_support,Thanks for reaching out about HackerRank. Please follow the product's documentation (12053672-what-happens-to-a-user-s-data-when-they-are-removed-from-a-team-or-enterprise-organization.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=12053672-what-happens-to-a-user-s-data-when-they-are-removed-from-a-team-or-enterprise-organization.md,product_issue
replied,HackerRank:general_support,Thanks for reaching out about HackerRank. Please follow the product's documentation (4425890244-hackerrank-dataset-creation-methodology.md) for further assistance.,request_type=product_issue; status=replied; matched_doc=4425890244-hackerrank-dataset-creation-methodology.md,product_issue
replied,HackerRank:integrations,Thanks for reaching out about HackerRank. Please follow the product's documentation (12386420-claude-code-faq.md) for further assistance.,request_type=bug; status=replied; matched_doc=12386420-claude-code-faq.md,bug
replied,HackerRank:interviews_assessments,Thanks for reaching out about HackerRank. Please follow the product's documentation (9125743-what-is-the-external-researcher-access-program.md) for further assistance.,request_type=feature_request; status=replied; matched_doc=9125743-what-is-the-external-researcher-access-program.md,feature_request
